date,id,code,mxn,usd,eur,rub,gel,gbp,jpy,aud,aed
2024-04-25,5,rub,0.18675577,0.010930352,0.010216983,1.0,0.029380039,0.008775118,1.69872039,0.01683374,0.040141717
2024-04-26,1,mxn,1.0,0.058112809,0.054181923,5.29368929,0.1557391,0.046481976,9.04531794,0.089032439,0.21341929
2024-04-26,2,usd,17.20791035,1.0,0.93235767,91.0933307,2.67994442,0.79985768,155.6510201,1.53206222,3.6725
2024-04-26,3,eur,18.45634023,1.07254977,1.0,97.70213058,2.87437377,0.85788717,166.9434653,1.64321298,3.93893902
2024-04-26,4,gel,6.42099522,0.37314207,0.34790187,33.99075364,1.0,0.29846055,58.07994325,0.57167686,1.37036424
2024-04-26,5,rub,0.18890417,0.010977752,0.010235191,1.0,0.029419765,0.008780639,1.70869831,0.016818599,0.040315794
2024-04-27,1,mxn,1.0,0.058306455,0.054489506,5.37079819,0.15645336,0.04666476,9.23077425,0.089248579,0.21413045
2024-04-27,2,usd,17.15075987,1.0,0.93453644,92.11327008,2.683294,0.8003361,158.3147925,1.53068094,3.6725
2024-04-27,3,eur,18.35215747,1.07004923,1.0,98.56573417,2.87125669,0.85639903,169.4046226,1.63790397,3.92975582
2024-04-27,4,gel,6.39168122,0.37267627,0.34827955,34.32842994,1.0,0.29826627,59.00016641,0.57044846,1.3686536
2024-04-27,5,rub,0.18619206,0.010856199,0.010145514,1.0,0.029130374,0.008688608,1.71869691,0.016617377,0.039869391
2024-04-28,1,mxn,1.0,0.058281551,0.054457483,5.36650381,0.15596144,0.046672522,9.22212682,0.089223374,0.214039
2024-04-28,2,usd,17.1580882,1.0,0.93438629,92.07894561,2.67600012,0.80081126,158.2340654,1.53090252,3.6725
2024-04-28,3,eur,18.36294942,1.07022118,1.0,98.54483792,2.86391201,0.85704517,169.3454484,1.63840431,3.93038729
2024-04-28,4,gel,6.41184134,0.37369206,0.34917274,34.40917097,1.0,0.29925681,59.13081405,0.57208612,1.37238409
2024-04-28,5,rub,0.18634106,0.010860246,0.010147665,1.0,0.02906202,0.008697007,1.71846087,0.016625978,0.039884253
2024-04-29,1,mxn,1.0,0.058249302,0.054397661,5.30411721,0.15598831,0.046549647,9.22513135,0.088954671,0.21392056
2024-04-29,2,usd,17.16758759,1.0,0.93387662,91.05889682,2.67794294,0.79914515,158.3732505,1.52713711,3.6725
2024-04-29,3,eur,18.38314323,1.07080527,1.0,97.50634641,2.86755541,0.85572883,169.586911,1.63526647,3.93253235
2024-04-29,4,gel,6.41073689,0.37342095,0.34872909,34.00329987,1.0,0.29841754,59.13988987,0.57026499,1.37138844
2024-04-29,5,rub,0.18853279,0.010981903,0.010255743,1.0,0.02940891,0.008776135,1.73923972,0.016770872,0.04033104
2024-04-30,1,mxn,1.0,0.058720619,0.054799692,5.36894594,0.15765146,0.046775525,9.20726118,0.089524399,0.21565147
2024-04-30,2,usd,17.02979314,1.0,0.93322742,91.43203867,2.68477175,0.79657751,156.7977532,1.524582,3.6725
2024-04-30,3,eur,18.2482778,1.07155017,1.0,97.97401696,2.87686764,0.85357277,168.0166598,1.63366611,3.93526801
2024-04-30,4,gel,6.34310649,0.37247114,0.34760028,34.05579582,1.0,0.29670214,58.40263814,0.5678628,1.36790027
